27/10/2021	12:58
Experiment Type:	Sizing
Pseudo Cross Correlation
Scattering angle:	15.0
Duration (s):	60
Wavelength (nm):	660.0
Refractive index:	1.330
Viscosity (mPas):	0.969
Temperature (K):	294.5
Laser intensity (mW):	0.130944
Average Count rate  A (kHz):	251.5
Average Count rate  B (kHz):	235.9
Intercept:	1.0000
Cumulant 1st	-Inf
Cumulant 2nd	-Inf	NaN
Cumulant 3rd	-Inf	NaN

Lag time (s)         g2-1
1.250000E-8	0.035739
2.500000E-8	0.022149
3.750000E-8	0.035358
5.000000E-8	0.032168
6.250000E-8	0.035447
7.500000E-8	0.033808
8.750000E-8	0.032909
1.000000E-7	0.022867
1.125000E-7	0.035560
1.250000E-7	0.030820
1.375000E-7	0.029494
1.500000E-7	0.025990
1.625000E-7	0.039177
1.750000E-7	0.038548
1.875000E-7	0.034122
2.000000E-7	0.033471
2.125000E-7	0.037480
2.375000E-7	0.030966
2.625000E-7	0.034145
2.875000E-7	0.033437
3.125000E-7	0.038536
3.375000E-7	0.035178
3.625000E-7	0.030258
3.875000E-7	0.034077
4.125000E-7	0.034133
4.625000E-7	0.030039
5.125000E-7	0.028562
5.625000E-7	0.034442
6.125000E-7	0.030253
6.625000E-7	0.035841
7.125000E-7	0.034206
7.625000E-7	0.034661
8.125000E-7	0.030915
9.125000E-7	0.033201
1.012500E-6	0.032218
1.112500E-6	0.032038
1.212500E-6	0.032780
1.312500E-6	0.035445
1.412500E-6	0.033900
1.512500E-6	0.033549
1.612500E-6	0.034567
1.812500E-6	0.032100
2.012500E-6	0.034802
2.212500E-6	0.035104
2.412500E-6	0.032850
2.612500E-6	0.033006
2.812500E-6	0.031954
3.012500E-6	0.034702
3.212500E-6	0.033664
3.612500E-6	0.034257
4.012500E-6	0.034513
4.412500E-6	0.031659
4.812500E-6	0.033134
5.212500E-6	0.031759
5.612500E-6	0.032852
6.012500E-6	0.033306
6.412500E-6	0.032813
7.212500E-6	0.033080
8.012500E-6	0.033556
8.812500E-6	0.033011
9.612500E-6	0.032946
1.041250E-5	0.032660
1.121250E-5	0.032978
1.201250E-5	0.032709
1.281250E-5	0.032311
1.441250E-5	0.032611
1.601250E-5	0.032686
1.761250E-5	0.032751
1.921250E-5	0.032857
2.081250E-5	0.032316
2.241250E-5	0.032460
2.401250E-5	0.032299
2.561250E-5	0.032678
2.881250E-5	0.032348
3.201250E-5	0.032565
3.521250E-5	0.032664
3.841250E-5	0.032491
4.161250E-5	0.032434
4.481250E-5	0.032663
4.801250E-5	0.032524
5.121250E-5	0.032223
5.761250E-5	0.032780
6.401250E-5	0.032845
7.041250E-5	0.032556
7.681250E-5	0.032588
8.321250E-5	0.032494
8.961250E-5	0.032431
9.601250E-5	0.032857
0.000102	0.032696
0.000115	0.032790
0.000128	0.032526
0.000141	0.032605
0.000154	0.032656
0.000166	0.032543
0.000179	0.032761
0.000192	0.032811
0.000205	0.032632
0.000230	0.032684
0.000256	0.032601
0.000282	0.032671
0.000307	0.032452
0.000333	0.032595
0.000358	0.032560
0.000384	0.032418
0.000410	0.032372
0.000461	0.032502
0.000512	0.032458
0.000563	0.032528
0.000614	0.032388
0.000666	0.032340
0.000717	0.032437
0.000768	0.032410
0.000819	0.032487
0.000922	0.032335
0.001024	0.032406
0.001126	0.032259
0.001229	0.032322
0.001331	0.032210
0.001434	0.032161
0.001536	0.032208
0.001638	0.032178
0.001843	0.032119
0.002048	0.032026
0.002253	0.032030
0.002458	0.031962
0.002662	0.031862
0.002867	0.031849
0.003072	0.031719
0.003277	0.031720
0.003686	0.031630
0.004096	0.031525
0.004506	0.031408
0.004915	0.031256
0.005325	0.031224
0.005734	0.031074
