27/10/2021	12:56
Experiment Type:	Sizing
Pseudo Cross Correlation
Scattering angle:	15.0
Duration (s):	60
Wavelength (nm):	660.0
Refractive index:	1.330
Viscosity (mPas):	0.980
Temperature (K):	294.0
Laser intensity (mW):	0.131075
Average Count rate  A (kHz):	248.4
Average Count rate  B (kHz):	233.0
Intercept:	1.0000
Cumulant 1st	-Inf
Cumulant 2nd	-Inf	NaN
Cumulant 3rd	-Inf	NaN

Lag time (s)         g2-1
0.629146	250.358582	236.740112
0.681574	252.819061	237.083435
0.734003	253.467560	237.655640
0.786432	252.971649	241.355896
0.838861	255.107880	239.486694
0.891290	256.862640	240.287781
0.943718	256.576538	238.990784
0.996147	255.050659	240.440369
1.048576	260.028839	238.704681
1.101005	257.148743	243.301392
1.153434	261.783600	244.312286
1.205862	258.941650	247.364044
1.258291	262.603760	240.783691
1.310720	263.557434	246.334076
1.363149	262.832642	239.715576
1.415578	263.996124	247.745514
1.468006	264.053345	247.879028
1.520435	265.808105	247.383118
1.572864	268.039703	244.579315
1.625293	259.037018	242.996216
1.677722	259.799957	244.979858
1.730150	263.729095	248.394012
1.782579	259.990692	244.655609
1.835008	258.769989	246.009827
1.887437	259.227753	245.208740
1.939866	259.342194	239.830017
1.992294	259.552002	245.056152
2.044723	264.434814	245.952606
2.097152	263.576508	249.710083
2.149581	264.663696	247.230530
2.202010	260.562897	245.018005
2.254438	258.846283	236.740112
2.306867	254.402161	235.881805
2.359296	252.132416	236.740112
2.411725	255.184174	236.873627
2.464154	252.971649	232.295990
2.516582	252.017975	236.454010
2.569011	251.560211	232.086182
2.621440	248.413086	233.497620
2.673869	249.824524	235.519409
2.726298	248.641968	239.257812
2.778726	251.903534	234.241486
2.831155	252.876282	236.778259
2.883584	249.614716	235.042572
2.936013	249.919891	236.129761
2.988442	253.562927	238.914490
3.040870	258.045197	239.601135
3.093299	250.453949	232.925415
3.145728	255.775452	240.573883
3.198157	253.944397	232.486725
3.250586	255.126953	239.486694
3.303014	254.154205	238.876343
3.355443	251.541138	241.241455
3.407872	251.674652	239.162445
3.460301	253.124237	235.557556
3.512730	257.587433	240.859985
3.565158	256.404877	237.560272
3.617587	255.966187	240.783691
3.670016	260.066986	242.538452
3.722445	254.840851	238.342285
3.774874	260.257721	239.753723
3.827302	257.873535	241.985321
3.879731	260.906219	246.696472
3.932160	263.328552	245.800018
3.984589	265.445709	248.889923
4.037018	264.797211	246.276855
4.089446	258.941650	248.813629
4.141875	262.222290	245.780945
4.194304	260.543823	242.309570
4.246733	264.225006	245.914459
4.299162	259.761810	246.410370
4.351590	260.410309	245.552063
4.404019	258.312225	244.789124
4.456448	261.936188	242.652893
4.508877	251.407623	239.505768
4.561306	251.789093	234.279633
4.613734	247.821808	234.298706
4.666163	252.895355	232.906342
4.718592	251.464844	233.573914
4.771021	248.947144	237.121582
4.823450	252.246857	237.522125
4.875878	249.729156	235.977173
4.928307	247.268677	234.966278
4.980736	251.121521	231.990814
5.033165	247.516632	235.099792
5.085594	249.404907	232.791901
5.138022	247.211456	229.930878
5.190451	248.222351	234.413147
5.242880	249.576569	233.173370
