27/10/2021	13:04
Experiment Type:	Sizing
Pseudo Cross Correlation
Scattering angle:	90.0
Duration (s):	60
Wavelength (nm):	660.0
Refractive index:	1.330
Viscosity (mPas):	0.969
Temperature (K):	294.5
Laser intensity (mW):	81.918000
Average Count rate  A (kHz):	7.7
Average Count rate  B (kHz):	7.8
Intercept:	1.0000
Cumulant 1st	-Inf
Cumulant 2nd	-Inf	NaN
Cumulant 3rd	-Inf	NaN

Lag time (s)         g2-1
1.250000E-8	-0.024323
2.500000E-8	-0.157370
3.750000E-8	-0.135195
5.000000E-8	-0.113021
6.250000E-8	-0.113021
7.500000E-8	-0.179544
8.750000E-8	0.020026
1.000000E-7	-0.046497
1.125000E-7	-0.113021
1.250000E-7	-0.068672
1.375000E-7	-0.024323
1.500000E-7	0.042201
1.625000E-7	0.108724
1.750000E-7	0.175248
1.875000E-7	-0.024323
2.000000E-7	0.197422
2.125000E-7	-0.101934
2.375000E-7	-0.068672
2.625000E-7	0.197422
2.875000E-7	0.108724
3.125000E-7	0.141986
3.375000E-7	-0.090846
3.625000E-7	0.075462
3.875000E-7	-0.002148
4.125000E-7	0.114268
4.625000E-7	0.141986
5.125000E-7	0.064375
5.625000E-7	0.042201
6.125000E-7	-0.007692
6.625000E-7	0.036657
7.125000E-7	-0.052041
7.625000E-7	0.020026
8.125000E-7	-0.002148
9.125000E-7	0.042201
1.012500E-6	0.036657
1.112500E-6	0.031113
1.212500E-6	-0.040954
1.312500E-6	-0.040954
1.412500E-6	-0.049269
1.512500E-6	0.039429
1.612500E-6	-0.039568
1.812500E-6	0.047744
2.012500E-6	-0.034024
2.212500E-6	0.032499
2.412500E-6	-0.022937
2.612500E-6	0.043587
2.812500E-6	0.021412
3.012500E-6	-0.016007
3.212500E-6	-0.022244
3.612500E-6	0.007553
4.012500E-6	0.023491
4.412500E-6	0.009634
4.812500E-6	-0.034715
5.212500E-6	-0.027785
5.612500E-6	0.027651
6.012500E-6	0.051904
6.412500E-6	0.023147
7.212500E-6	-0.020163
8.012500E-6	0.005823
8.812500E-6	-0.013233
9.612500E-6	-0.007343
1.041250E-5	0.012059
1.121250E-5	0.020028
1.201250E-5	0.017603
1.281250E-5	0.000452
1.441250E-5	0.023320
1.601250E-5	0.010154
1.761250E-5	0.016044
1.921250E-5	0.006169
2.081250E-5	-0.002146
2.241250E-5	-0.001973
2.401250E-5	0.013619
2.561250E-5	0.002618
2.881250E-5	0.006429
3.201250E-5	0.001752
3.521250E-5	0.008508
3.841250E-5	0.009114
4.161250E-5	-0.017651
4.481250E-5	0.017430
4.801250E-5	0.009461
5.121250E-5	0.007339
5.761250E-5	0.002661
6.401250E-5	0.010630
7.041250E-5	0.012882
7.681250E-5	0.004480
8.321250E-5	0.009677
8.961250E-5	0.007728
9.601250E-5	0.004480
0.000102	0.003527
0.000115	0.000257
0.000128	0.007014
0.000141	0.008963
0.000154	-0.001367
0.000166	0.008789
0.000179	0.015026
0.000192	0.004978
0.000205	0.009829
0.000230	0.006115
0.000256	0.009829
0.000282	-0.007961
0.000307	0.003061
0.000333	0.004545
0.000358	0.002574
0.000384	-0.000360
0.000410	-0.000149
0.000461	0.007197
0.000512	0.005113
0.000563	0.004707
0.000614	0.003063
0.000666	0.004641
0.000717	0.000196
0.000768	0.003092
0.000819	0.003989
0.000922	0.005383
0.001024	0.007110
0.001126	0.002840
0.001229	0.003782
0.001331	0.002266
0.001434	0.004228
0.001536	0.004009
0.001638	0.004309
0.001843	0.004769
0.002048	0.002126
0.002253	0.005339
0.002458	0.001622
0.002662	0.000808
0.002867	0.000543
0.003072	0.002127
0.003277	0.003116
0.003686	0.001713
0.004096	0.002836
0.004506	0.000935
